id|title|authors|arxiv_primary_category|summary|published|updated|general_category
http://arxiv.org/abs/1502.02721v1|In-situ measurements of the radiation stability of amino acids at 15-140   K|P. A. Gerakines;R. L. Hudson;M. H. Moore;J. -L. Bell|astro-ph.IM|We present new kinetics data on the radiolytic destruction of amino acids measured in situ with infrared spectroscopy. Samples were irradiated at 15, 100, and 140 K with 0.8-MeV protons, and amino-acid decay was followed at each temperature with and without H$_2$O present. Observed radiation products included CO$_2$ and amines, consistent with amino-acid decarboxylation. The half-lives of glycine, alanine, and phenylalanine were estimated for various extraterrestrial environments. Infrared spectral changes demonstrated the conversion from the non-zwitterion structure NH$_2$-CH$_2$(R)-COOH at 15 K to the zwitterion structure $^+$NH$_3$-CH$_2$(R)-COO$^-$ at 140 K for each amino acid studied.|2015-02-09T23:03:10Z|2015-02-09T23:03:10Z|astro-ph
http://arxiv.org/abs/1503.01540v1|Finding meteorite impacts in Aboriginal oral tradition|Duane W. Hamacher|physics.hist-ph|Aboriginal stories dating back many thousands of years talk of a fire from the sky in an area now home to the Henbury meteorite craters, in the Northern Territory|2015-03-05T05:21:09Z|2015-03-05T05:21:09Z|physics
http://arxiv.org/abs/1909.09824v1|Desperate times call for desperate measures: government spending   multipliers in hard times|Sokbae Lee;Yuan Liao;Myung Hwan Seo;Youngki Shin|econ.GN|We investigate state-dependent effects of fiscal multipliers and allow for endogenous sample splitting to determine whether the US economy is in a slack state. When the endogenized slack state is estimated as the period of the unemployment rate higher than about 12 percent, the estimated cumulative multipliers are significantly larger during slack periods than non-slack periods and are above unity. We also examine the possibility of time-varying regimes of slackness and find that our empirical results are robust under a more flexible framework. Our estimation results points out the importance of the heterogenous effects of fiscal policy.|2019-09-21T13:42:17Z|2019-09-21T13:42:17Z|econ
http://arxiv.org/abs/1809.07292v2|Online control of the false discovery rate in biomedical research|David S. Robertson;James M. S. Wason|stat.ME|Modern biomedical research frequently involves testing multiple related hypotheses, while maintaining control over a suitable error rate. In many applications the false discovery rate (FDR), which is the expected proportion of false positives among the rejected hypotheses, has become the standard error criterion. Procedures that control the FDR, such as the well-known Benjamini-Hochberg procedure, assume that all p-values are available to be tested at a single time point. However, this ignores the sequential nature of many biomedical experiments, where a sequence of hypotheses is tested without having access to future p-values or even the number of hypotheses. Recently, the first procedures that control the FDR in this online manner have been proposed by Javanmard and Montanari (Ann. Stat. 2018), and built upon by Ramdas et al. (NIPS 2017, ICML 2018). In this paper, we compare and contrast these proposed procedures, with a particular focus on the setting where the p-values are dependent. We also propose a simple modification of the procedures for when there is an upper bound on the number of hypotheses to be tested. Using comprehensive simulation scenarios and case studies, we provide recommendations for which procedures to use in practice for online FDR control.|2018-09-19T16:37:46Z|2018-09-26T17:08:01Z|stat
http://arxiv.org/abs/1902.10021v1|Gig Economy: A Dynamic Principal-Agent Model|Zsolt Bihary;Péter Kerényi|econ.GN|The gig economy, where employees take short-term, project-based jobs, is increasingly spreading all over the world. In this paper, we investigate the employer's and the worker's behavior in the gig economy with a dynamic principal-agent model. In our proposed model the worker's previous decisions influence his later decisions through his dynamically changing participation constraint. He accepts the contract offered by the employer when his expected utility is higher than the irrational valuation of his effort's worth. This reference point is based on wages he achieved in previous rounds. We formulate the employer's stochastic control problem and derive the solution in the deterministic limit. We obtain the feasible net wage of the worker, and the profit of the employer. Workers who can afford to go unemployed and need not take a gig at all costs will realize high net wages. Conversely, far-sighted employers who can afford to stall production will obtain high profits.|2019-02-26T16:05:06Z|2019-02-26T16:05:06Z|econ
http://arxiv.org/abs/1511.03159v3|On the C-property and $w^*$-representations of risk measures|Niushan Gao;Foivos Xanthos|q-fin.MF|We identify a large class of Orlicz spaces $X$ for which the topology $\sigma(X,X_n^\sim)$ fails the C-property introduced in [7]. We also establish a variant of the C-property and use it to prove a $w^*$-representation theorem for proper convex increasing functionals on dual Banach lattices that satisfy a suitable version of Delbaen's Fatou property. Our results apply, in particular, to risk measures on all Orlicz spaces over $[0,1]$ which is not $L_1[0,1]$.|2015-11-10T16:01:28Z|2016-09-21T03:39:00Z|q-fin
http://arxiv.org/abs/1801.04080v1|Optimal contracts under competition when uncertainty from adverse   selection and moral hazard are present|N. Packham|q-fin.PM|In a continuous-time setting where a risk-averse agent controls the drift of an output process driven by a Brownian motion, optimal contracts are linear in the terminal output; this result is well-known in a setting with moral hazard and -under stronger assumptions - adverse selection. We show that this result continues to hold when in addition reservation utilities are type-dependent. This type of problem occurs in the study of optimal compensation problems involving competing principals.|2018-01-12T08:10:20Z|2018-01-12T08:10:20Z|q-fin
http://arxiv.org/abs/1705.01204v1|Spectral clustering in the dynamic stochastic block model|Marianna Pensky;Teng Zhang|stat.ME|In the present paper, we studied a Dynamic Stochastic Block Model (DSBM) under the assumptions that the connection probabilities, as functions of time, are smooth and that at most $s$ nodes can switch their class memberships between two consecutive time points. We estimate the edge probability tensor by a kernel-type procedure and extract the group memberships of the nodes by spectral clustering. The procedure is computationally viable, adaptive to the unknown smoothness of the functional connection probabilities, to the rate $s$ of membership switching and to the unknown number of clusters. In addition, it is accompanied by non-asymptotic guarantees for the precision of estimation and clustering.|2017-05-02T23:55:26Z|2017-05-02T23:55:26Z|stat
http://arxiv.org/abs/1710.10967v3|Artificial Intelligence as Structural Estimation: Economic   Interpretations of Deep Blue, Bonanza, and AlphaGo|Mitsuru Igami|econ.EM|"Artificial intelligence (AI) has achieved superhuman performance in a growing number of tasks, but understanding and explaining AI remain challenging. This paper clarifies the connections between machine-learning algorithms to develop AIs and the econometrics of dynamic structural models through the case studies of three famous game AIs. Chess-playing Deep Blue is a calibrated value function, whereas shogi-playing Bonanza is an estimated value function via Rust's (1987) nested fixed-point method. AlphaGo's ""supervised-learning policy network"" is a deep neural network implementation of Hotz and Miller's (1993) conditional choice probability estimation; its ""reinforcement-learning value network"" is equivalent to Hotz, Miller, Sanders, and Smith's (1994) conditional choice simulation method. Relaxing these AIs' implicit econometric assumptions would improve their structural interpretability."|2017-10-30T14:25:39Z|2018-03-01T20:52:33Z|econ
http://arxiv.org/abs/0902.1323v1|Sparse partial least squares for on-line variable selection in   multivariate data streams|Brian McWilliams;Giovanni Montana|stat.ML|"In this paper we propose a computationally efficient algorithm for on-line variable selection in multivariate regression problems involving high dimensional data streams. The algorithm recursively extracts all the latent factors of a partial least squares solution and selects the most important variables for each factor. This is achieved by means of only one sparse singular value decomposition which can be efficiently updated on-line and in an adaptive fashion. Simulation results based on artificial data streams demonstrate that the algorithm is able to select important variables in dynamic settings where the correlation structure among the observed streams is governed by a few hidden components and the importance of each variable changes over time. We also report on an application of our algorithm to a multivariate version of the ""enhanced index tracking"" problem using financial data streams. The application consists of performing on-line asset allocation with the objective of overperforming two benchmark indices simultaneously."|2009-02-08T17:41:11Z|2009-02-08T17:41:11Z|stat
